07015;-27.1714;6.93107;50.57,3.0975
07471;-6.77873;60.0092;45.0745,3.764
07510;-40.1469;29.5681;44.830667,-0.691333
07037;-38.4936;6.58081;49.383,1.181667
07280;-41.1698;39.4502;47.267833,5.088333
07072;-26.6083;33.6572;49.209667,4.155333
07747;-20.2211;44.6756;42.737167,2.872833
07761;-30.5973;9.52275;41.918,8.792667
07535;-28.0636;103.191;44.745,1.396667
07110;-26.9824;11.3861;48.444167,-4.412
07130;-35.0378;26.2294;48.068833,-1.734
07117;-23.9441;-11.3942;48.825833,-3.473167
07558;-10.8069;18.0559;44.1185,3.0195
07577;-3.102;30.8105;44.581167,4.733
07591;1.96362;39.8399;44.565667,6.502333
07139;-27.231;20.3343;48.4455,0.110167
07630;-28.9239;24.0278;43.621,1.378833
07650;-21.9145;27.0485;43.437667,5.216
07190;-28.2127;68.3038;48.5495,7.640333
07005;-34.5687;17.9974;50.136,1.834
07460;-14.0142;49.7499;45.786833,3.149333
07020;-7.40956;-3.82263;49.725167,-1.939833
07690;-75.0083;-18.7095;43.648833,7.209
07027;-33.3547;4.01325;49.18,-0.456167
07481;-31.3632;32.9381;45.7265,5.077833
07255;-44.932;46.1632;47.059167,2.359833
07314;-16.7946;-6.64689;46.046833,-1.4115
07299;-38.3756;74.5473;47.614333,7.51
07335;-37.9975;27.633;46.593833,0.314333
07790;-41.8527;75.6374;42.540667,9.485167
07607;-35.8977;64.3285;43.909833,-0.500167
07621;-48.5843;62.5965;43.188,0.0
07149;-39.1353;19.1567;48.716833,2.384333
07627;-12.4305;72.0471;43.005333,1.106833
07168;-37.1908;31.058;48.324667,4.02
07181;-30.8426;30.9529;48.581,5.959833
07643;-33.5949;24.551;43.577,3.963167
07207;-9.58802;-13.7589;47.294333,-3.218333
07434;-57.1571;19.8332;45.861167,1.175
07661;-22.0842;3.61975;43.079333,5.940833
07222;-37.8842;26.8698;47.15,-1.608833
07240;-43.8167;24.5238;47.4445,0.727333
