100;07015;50.57,3.0975
100;07471;45.0745,3.764
100;07510;44.830667,-0.691333
100;81401;5.4855,-54.031667
96;61980;-20.8925,55.528667
100;07037;49.383,1.181667
98;61968;-11.582667,47.289667
100;07280;47.267833,5.088333
100;81405;4.822333,-52.365333
100;81408;3.890667,-51.804667
100;07072;49.209667,4.155333
97;07747;42.737167,2.872833
98;07761;41.918,8.792667
100;07535;44.745,1.396667
99;67005;-12.8055,45.282833
100;07110;48.444167,-4.412
98;78922;14.7745,-60.875333
100;07130;48.068833,-1.734
100;07117;48.825833,-3.473167
100;07558;44.1185,3.0195
99;78925;14.595333,-60.995667
99;07577;44.581167,4.733
99;07591;44.565667,6.502333
100;07139;48.4455,0.110167
100;07630;43.621,1.378833
100;07650;43.437667,5.216
100;07190;48.5495,7.640333
100;07005;50.136,1.834
99;07460;45.786833,3.149333
100;07020;49.725167,-1.939833
98;07690;43.648833,7.209
100;07027;49.18,-0.456167
100;07481;45.7265,5.077833
100;07255;47.059167,2.359833
99;89642;-66.663167,140.001
95;61972;-22.344167,40.340667
98;61976;-15.887667,54.520667
99;81415;3.640167,-54.028333
100;61996;-37.795167,77.569167
100;61997;-46.4325,51.856667
100;07314;46.046833,-1.4115
100;61998;-49.352333,70.243333
97;78890;16.335,-61.004
100;07299;47.614333,7.51
100;07335;46.593833,0.314333
100;07790;42.540667,9.485167
100;78894;17.9015,-62.852167
98;78897;16.264,-61.516333
98;07607;43.909833,-0.500167
100;07621;43.188,0.0
100;71805;46.766333,-56.179167
100;07149;48.716833,2.384333
100;07627;43.005333,1.106833
100;07168;48.324667,4.02
100;07181;48.581,5.959833
100;07643;43.577,3.963167
100;07207;47.294333,-3.218333
100;07434;45.861167,1.175
97;07661;43.079333,5.940833
100;07222;47.15,-1.608833
100;07240;47.4445,0.727333
